time,open,high,low,close
2016-10-16T20:00:00-04:00,642.1,658,625.6,651.04
2016-10-23T20:00:00-04:00,651.05,725.64,645.81,697.41
2016-10-30T20:00:00-04:00,697.39,746.16,672.06,717.02
2016-11-06T19:00:00-05:00,717.04,747.26,685.7,704.01
2016-11-13T19:00:00-05:00,704.01,753.81,673.85,731.99
2016-11-20T19:00:00-05:00,731.72,748.77,726,729.24
2016-11-27T19:00:00-05:00,729.24,780,728.2,767.99
2016-12-04T19:00:00-05:00,767.94,776.99,748.6,771.05
2016-12-11T19:00:00-05:00,771.05,791.97,770.88,790.72
2016-12-18T19:00:00-05:00,790.71,918.5,788.58,896.12
2016-12-25T19:00:00-05:00,895.94,1000,890,992.95
2017-01-01T19:00:00-05:00,992.96,1175,802.07,923.33
2017-01-08T19:00:00-05:00,922.04,923.98,734.64,833.31
2017-01-15T19:00:00-05:00,833.43,946.24,826.03,931.22
2017-01-22T19:00:00-05:00,929.45,930,880,916.54
2017-01-29T19:00:00-05:00,916.56,1044.12,914.69,1016.32
2017-02-05T19:00:00-05:00,1016.32,1079,925,1010
2017-02-12T19:00:00-05:00,1009.99,1073.8,985.68,1059.88
2017-02-19T19:00:00-05:00,1059.89,1221.93,1051.36,1184.91
2017-02-26T19:00:00-05:00,1184.91,1298.61,1085.71,1278.97
2017-03-05T19:00:00-05:00,1278.63,1360,956.85,1235.57
2017-03-12T20:00:00-04:00,1235.27,1277.27,919.44,1019.49
2017-03-19T20:00:00-04:00,1019.1,1120,890.05,973.08
2017-03-26T20:00:00-04:00,974.24,1119,961.1,1113.99
2017-04-02T20:00:00-04:00,1113.23,1221,1112.24,1210.97
2017-04-09T20:00:00-04:00,1210.99,1234,900,1177.99
2017-04-16T20:00:00-04:00,1177.63,1258.77,1170.85,1251.98
2017-04-23T20:00:00-04:00,1251.91,1394.51,1246.31,1384.55
2017-04-30T20:00:00-04:00,1384.55,1665,1370.98,1609.57
2017-05-07T20:00:00-04:00,1611.1,1889,1608,1799.99
2017-05-14T20:00:00-04:00,1799.98,2102.68,1690.14,2057
2017-05-21T20:00:00-04:00,2056.99,2806,1913.19,2232.78
2017-05-28T20:00:00-04:00,2237,2599,2112.31,2521.36
2017-06-04T20:00:00-04:00,2521.43,2998.99,2517.02,2998.98
2017-06-11T20:00:00-04:00,2998.98,2999.99,2050,2515.25
2017-06-18T20:00:00-04:00,2515.25,2781.59,2430.05,2505.61
2017-06-25T20:00:00-04:00,2505.61,2605,2258.34,2516.66
2017-07-02T20:00:00-04:00,2515.37,2636.1,2471.22,2508.99
2017-07-09T20:00:00-04:00,2508,2523,1758.2,1911.78
2017-07-16T20:00:00-04:00,1911.79,2957,1909.58,2754.28
2017-07-23T20:00:00-04:00,2755.19,2825.11,2403,2723.99
2017-07-30T20:00:00-04:00,2723.99,3335,2650,3222.22
2017-08-06T20:00:00-04:00,3222.22,4200,3190,4060.47
2017-08-13T20:00:00-04:00,4060.47,4469,3807.14,4050.99
2017-08-20T20:00:00-04:00,4050.99,4453.9,3583.46,4340.11
2017-08-27T20:00:00-04:00,4343.5,4980,4200,4626.05
2017-09-03T20:00:00-04:00,4626.05,4692,4139,4251.36
2017-09-10T20:00:00-04:00,4251.36,4375.37,2975.01,3719.97
2017-09-17T20:00:00-04:00,3719.98,4130,3509.79,3669.01
2017-09-24T20:00:00-04:00,3669.01,4396.99,3669.01,4394.81
2017-10-01T20:00:00-04:00,4394.81,4612,4150.01,4603.49
2017-10-08T20:00:00-04:00,4603.5,5867,4561,5693.7
2017-10-15T20:00:00-04:00,5693.7,6189.1,5102,6005.05
2017-10-22T20:00:00-04:00,6000.01,6298.99,5376.71,6140.01
2017-10-29T20:00:00-04:00,6140.01,7630,6028,7392
2017-11-05T19:00:00-05:00,7391.95,7898,5511.11,5886.35
2017-11-12T19:00:00-05:00,5886.35,8098.62,5850,8031.82
2017-11-19T19:00:00-05:00,8031.83,9596,7802.99,9401.11
2017-11-26T19:00:00-05:00,9401.11,11891,8595.55,11290
2017-12-03T19:00:00-05:00,11290,19697,10950,15290.01
2017-12-10T19:00:00-05:00,15290.01,19891.99,15200,19378.99
2017-12-17T19:00:00-05:00,19378.99,19385,10400,14221.94
2017-12-24T19:00:00-05:00,14221.93,16490,12500,13863.13
2017-12-31T19:00:00-05:00,13863.14,17178,12952.5,16174.22
2018-01-07T19:00:00-05:00,16174.22,16275,12800.01,13656.23
2018-01-14T19:00:00-05:00,13656.23,14253,9005,11518.17
2018-01-21T19:00:00-05:00,11518.17,11849,9945,11536
2018-01-28T19:00:00-05:00,11536,11570,7540,8167.91
2018-02-04T19:00:00-05:00,8167.9,9090,5873,8072.99
2018-02-11T19:00:00-05:00,8073,11299.1,8072.99,10380.04
2018-02-18T19:00:00-05:00,10380.03,11775,9324.75,9597.99
2018-02-25T19:00:00-05:00,9600,11494.57,9404,11469.9
2018-03-04T19:00:00-05:00,11469.9,11645.74,8370,9533.88
2018-03-11T20:00:00-04:00,9533.88,9890,7310,8192
2018-03-18T20:00:00-04:00,8192,9174,8108.31,8452.96
2018-03-25T20:00:00-04:00,8453,8498,6450,6816.01
2018-04-01T20:00:00-04:00,6816.01,7520,6518.88,7020.01
2018-04-08T20:00:00-04:00,7020.01,8392.56,6617,8355.25
2018-04-15T20:00:00-04:00,8355.24,9038.87,7822,8795.01
2018-04-22T20:00:00-04:00,8795,9763.49,8602.43,9389.01
2018-04-29T20:00:00-04:00,9389.01,9948.12,8831.21,9600
2018-05-06T20:00:00-04:00,9600,9619.55,8223.43,8686.1
2018-05-13T20:00:00-04:00,8686.1,8880.01,7927.21,8516.86
2018-05-20T20:00:00-04:00,8516.86,8584.39,7229.01,7346.64
2018-05-27T20:00:00-04:00,7346.64,7777,7058,7706.37
2018-06-03T20:00:00-04:00,7706.37,7747.57,6652,6770.31
2018-06-10T20:00:00-04:00,6770.31,6913.83,6135,6447.16
2018-06-17T20:00:00-04:00,6447.15,6829.06,5777,6149.99
2018-06-24T20:00:00-04:00,6150,6520.15,5790.01,6349.5
2018-07-01T20:00:00-04:00,6349.5,6843.26,6270.01,6701.97
2018-07-08T20:00:00-04:00,6701.97,6815.82,6075.01,6348.73
2018-07-15T20:00:00-04:00,6348.73,7687,6330.3,7397.8
2018-07-22T20:00:00-04:00,7400,8488,7378.26,8216.34
2018-07-29T20:00:00-04:00,8216.33,8274.92,6880,7030.01
2018-08-05T20:00:00-04:00,7030,7163,6003,6316.01
2018-08-12T20:00:00-04:00,6316,6636,5900,6489.53
2018-08-19T20:00:00-04:00,6489.53,6890.65,6227.71,6709.98
2018-08-26T20:00:00-04:00,6709.98,7328.99,6654.13,7295
2018-09-02T20:00:00-04:00,7294.99,7402.5,6116,6235.01
2018-09-09T20:00:00-04:00,6235.02,6580,6176.76,6498
2018-09-16T20:00:00-04:00,6498,6823,6106.37,6696.99
2018-09-23T20:00:00-04:00,6696.99,6786.73,6320.5,6605
2018-09-30T20:00:00-04:00,6605,6641,6398.96,6570
2018-10-07T20:00:00-04:00,6569.99,6681.19,6033.34,6183.49
2018-10-14T20:00:00-04:00,6183.52,6810,6151.58,6415.88
2018-10-21T20:00:00-04:00,6415.87,6471,6360,6403.62
2018-10-28T20:00:00-04:00,6403.63,6464.15,6201.67,6423.28
2018-11-04T19:00:00-05:00,6423.29,6540,6271.15,6357.6
2018-11-11T19:00:00-05:00,6357.6,6383.59,5188,5560
2018-11-18T19:00:00-05:00,5560,5560,3456.78,3936.69
2018-11-25T19:00:00-05:00,3936.7,4414.89,3508,4103.19
2018-12-02T19:00:00-05:00,4102.8,4119.98,3212,3531.18
2018-12-09T19:00:00-05:00,3531.18,3590.71,3128.89,3195
2018-12-16T19:00:00-05:00,3194.99,4175,3184.28,3944.93
2018-12-23T19:00:00-05:00,3944.92,4239.37,3567,3829
2018-12-30T19:00:00-05:00,3829,4088,3625,4040.99
2019-01-06T19:00:00-05:00,4040.98,4114.8,3481.54,3514.24
2019-01-13T19:00:00-05:00,3514.24,3765.9,3481.01,3536.19
2019-01-20T19:00:00-05:00,3537.56,3657.76,3425,3531.02
2019-01-27T19:00:00-05:00,3531.02,3535.92,3337.87,3414.78
2019-02-03T19:00:00-05:00,3415.69,3711,3340.8,3648.84
2019-02-10T19:00:00-05:00,3648.85,3675,3535.1,3625.08
2019-02-17T19:00:00-05:00,3625.08,4188.79,3616.18,3734.22
2019-02-24T19:00:00-05:00,3734.23,3910,3655,3786.93
2019-03-03T19:00:00-05:00,3786.93,3947.33,3672.39,3900.93
2019-03-10T20:00:00-04:00,3900.93,4037.47,3779.28,3967.01
2019-03-17T20:00:00-04:00,3967.01,4056.33,3915.14,3969.52
2019-03-24T20:00:00-04:00,3969.52,4131.87,3858,4094.99
2019-03-31T20:00:00-04:00,4095,5345,4051.53,5194.79
2019-04-07T20:00:00-04:00,5194.76,5488,4901.99,5164.27
2019-04-14T20:00:00-04:00,5163.81,5359.98,4945.54,5297.64
2019-04-21T20:00:00-04:00,5297.64,5650.01,4963,5155
2019-04-28T20:00:00-04:00,5155,5846.88,5072.01,5715.86
2019-05-05T20:00:00-04:00,5715.86,7581.82,5564.93,6979.76
2019-05-12T20:00:00-04:00,6979.24,8388,6600,8200
2019-05-19T20:00:00-04:00,8194.34,8793.97,7467.1,8731.72
2019-05-26T20:00:00-04:00,8732.34,9090,7972,8736.55
2019-06-02T20:00:00-04:00,8736.55,8742.48,7427,7634.58
2019-06-09T20:00:00-04:00,7635.05,9388,7516.9,8975
2019-06-16T20:00:00-04:00,8975.78,11284.44,8919.72,10833.02
2019-06-23T20:00:00-04:00,10833,13868.44,10300,10761.26
2019-06-30T20:00:00-04:00,10761.26,12064.26,9651,11474.42
2019-07-07T20:00:00-04:00,11474.44,13202.63,10084.4,10185.03
2019-07-14T20:00:00-04:00,10190.91,11112.31,9071,10590.7
2019-07-21T20:00:00-04:00,10590.71,10688.14,9108.88,9533
2019-07-28T20:00:00-04:00,9533,11089.74,9356.75,10977.51
2019-08-04T20:00:00-04:00,10977.98,12320.4,10977.98,11540.76
2019-08-11T20:00:00-04:00,11540.76,11555.55,9470,10315.48
2019-08-18T20:00:00-04:00,10315.48,10953,9759,10138.72
2019-08-25T20:00:00-04:00,10142,10680,9321.73,9766.52
2019-09-01T20:00:00-04:00,9766.62,10939.34,9756.54,10398.97
2019-09-08T20:00:00-04:00,10401.13,10541.75,9851.97,10304.46
2019-09-15T20:00:00-04:00,10303.66,10379.98,9585.86,10026.8
2019-09-22T20:00:00-04:00,10026.79,10051.15,7712.45,8052.4
2019-09-29T20:00:00-04:00,8054.09,8535,7701,7859.79
2019-10-06T20:00:00-04:00,7859.79,8826,7762.35,8282.97
2019-10-13T20:00:00-04:00,8282.96,8420,7814.08,8236.12
2019-10-20T20:00:00-04:00,8235.94,10540.49,7296.44,9548.84
2019-10-27T20:00:00-04:00,9555.89,9939.69,8950,9206.52
2019-11-03T19:00:00-05:00,9206.52,9600,8660,9032.23
2019-11-10T19:00:00-05:00,9032.23,9067.34,8361,8500.01
2019-11-17T19:00:00-05:00,8501,8501.01,6775.47,6908.64
2019-11-24T19:00:00-05:00,6908.64,7870.1,6526,7404.27
2019-12-01T19:00:00-05:00,7405.33,7775,7080,7520
2019-12-08T19:00:00-05:00,7520,7659.38,7006.01,7111
2019-12-15T19:00:00-05:00,7111,7521.55,6430,7513.06
2019-12-22T19:00:00-05:00,7514.74,7688.99,7053.32,7384.89
2019-12-29T19:00:00-05:00,7384.57,7488.87,6854.67,7355.4
2020-01-05T19:00:00-05:00,7355.4,8469.39,7343.17,8180.81
2020-01-12T19:00:00-05:00,8180.81,9194.99,8041.95,8697.53
2020-01-19T19:00:00-05:00,8697.53,8791.76,8216.71,8595
2020-01-26T19:00:00-05:00,8595,9574.68,8556.6,9323.5
2020-02-02T19:00:00-05:00,9325.01,10178.91,9078.05,10168.35
2020-02-09T19:00:00-05:00,10168.36,10522.51,9612.12,9921
2020-02-16T19:00:00-05:00,9920.52,10315,9280.98,9965.01
2020-02-23T19:00:00-05:00,9965,10030,8400,8522.31
2020-03-01T19:00:00-05:00,8522.3,9214.67,8002.2,8037.76
2020-03-08T20:00:00-04:00,8037.73,8187.03,3858,5345.35
2020-03-15T20:00:00-04:00,5346.86,6990,4432.3,5818.25
2020-03-22T20:00:00-04:00,5815.24,6983.31,5678.2,5877.21
2020-03-29T20:00:00-04:00,5878.98,7292.11,5853,6778.25
2020-04-05T20:00:00-04:00,6778.64,7466,6750,6908.13
2020-04-12T20:00:00-04:00,6908.12,7308,6456,7130.71
2020-04-19T20:00:00-04:00,7130.7,7775,6748.72,7706.4
2020-04-26T20:00:00-04:00,7706.4,9478.66,7635.69,8909.95
2020-05-03T20:00:00-04:00,8907.85,10079,8106.7,8729.86
2020-05-10T20:00:00-04:00,8729.86,9943.93,8185,9676.63
2020-05-17T20:00:00-04:00,9677.45,9957.25,8680.7,8715.73
2020-05-24T20:00:00-04:00,8715.69,9764,8632.93,9446.57
2020-05-31T20:00:00-04:00,9445.83,10428,9270,9750.12
2020-06-07T20:00:00-04:00,9750.12,10018.67,9050,9325
2020-06-14T20:00:00-04:00,9328.63,9592.04,8895.01,9286.14
2020-06-21T20:00:00-04:00,9286.14,9792,8815.01,9113.24
2020-06-28T20:00:00-04:00,9113.23,9297.2,8905.84,9074.39
2020-07-05T20:00:00-04:00,9074.37,9475,9061.59,9303.37
2020-07-12T20:00:00-04:00,9303.38,9339.61,9005,9212.87
2020-07-19T20:00:00-04:00,9214.01,10150,9131,9941
2020-07-26T20:00:00-04:00,9941,12134.29,9935,11068.54
2020-08-02T20:00:00-04:00,11067.46,11920,10911.74,11688.48
2020-08-09T20:00:00-04:00,11688.25,12086.22,11120,11918.84
2020-08-16T20:00:00-04:00,11918.84,12486.61,11370,11650.01
2020-08-23T20:00:00-04:00,11650.01,11823.62,11102.73,11716.01
2020-08-30T20:00:00-04:00,11716,12086,9813,10257.86
2020-09-06T20:00:00-04:00,10258.67,10582.36,9819.83,10336.76
2020-09-13T20:00:00-04:00,10336.76,11179.9,10253,10920.89
2020-09-20T20:00:00-04:00,10920.94,10994,10135.22,10778.2
2020-09-27T20:00:00-04:00,10779,10956.11,10363.76,10671.11
2020-10-04T20:00:00-04:00,10670.01,11498.98,10524,11374.01
2020-10-11T20:00:00-04:00,11374.01,11736.02,11187.6,11514.2
2020-10-18T20:00:00-04:00,11514.2,13361,11416.04,13045
2020-10-25T20:00:00-04:00,13045.02,14098.92,12785,13771.59
2020-11-01T19:00:00-05:00,13771.7,15977.67,13215,15482.9
2020-11-08T19:00:00-05:00,15482.89,16491.92,14817.14,15966.89
2020-11-15T19:00:00-05:00,15970,18980,15879,18437.66
2020-11-22T19:00:00-05:00,18437.18,19500,16200,18202.04
2020-11-29T19:00:00-05:00,18202.02,19915.14,18109,19375.6
2020-12-06T19:00:00-05:00,19375.6,19432.57,17580,19166.65
2020-12-13T19:00:00-05:00,19166.65,24300,18967.68,23476.51
2020-12-20T19:00:00-05:00,23476.51,28387,21913.84,26258.65
2020-12-27T19:00:00-05:00,26255.16,34810,25833.73,33080.66
2021-01-03T19:00:00-05:00,33082.84,41986.37,27678,38171.57
2021-01-10T19:00:00-05:00,38168.89,40127.66,30100,35820
2021-01-17T19:00:00-05:00,35820.01,37857,28732,32288.56
2021-01-24T19:00:00-05:00,32293.18,38570.13,29156,33137.74
2021-01-31T19:00:00-05:00,33137.75,41000,32333,38871.42
2021-02-07T19:00:00-05:00,38871.43,49700,38057.01,48680.69
2021-02-14T19:00:00-05:00,48667.23,58367,45768.46,57489.16
2021-02-21T19:00:00-05:00,57489.16,57577.69,43016,45231.75
2021-02-28T19:00:00-05:00,45231.74,52666,45042.13,50978.61
2021-03-07T19:00:00-05:00,50976.22,61788.45,49328.62,58972.7
2021-03-14T20:00:00-04:00,58972.71,60601.07,53221,57363.32
2021-03-21T20:00:00-04:00,57377.29,58421.68,50305,55778.82
2021-03-28T20:00:00-04:00,55781.22,60055.02,54900,58215.94
2021-04-04T20:00:00-04:00,58216.73,61218.97,55400,59985.26
2021-04-11T20:00:00-04:00,59983.66,64899,51300,56274.41
2021-04-18T20:00:00-04:00,56273.65,57600,47044.01,49121
2021-04-25T20:00:00-04:00,49121,58550,48817.62,56625.2
2021-05-02T20:00:00-04:00,56625.21,59559.84,52913.02,58312.57
2021-05-09T20:00:00-04:00,58313.84,59592.2,43825,46450.79
2021-05-16T20:00:00-04:00,46450.78,46646.15,30000,34758.67
2021-05-23T20:00:00-04:00,34758.88,40900,33333,35669.44
2021-05-30T20:00:00-04:00,35669.44,39489.82,34183,35800.48
2021-06-06T20:00:00-04:00,35800.48,39396,31004.95,39015.24
2021-06-13T20:00:00-04:00,39015.24,41322.55,33347.05,35585.78
2021-06-20T20:00:00-04:00,35585.79,35741.54,28800,34709.23
2021-06-27T20:00:00-04:00,34708.53,36675,32703.48,35284.05
2021-07-04T20:00:00-04:00,35284.06,35290.82,32111,34259.23
2021-07-11T20:00:00-04:00,34259.22,34670,31025.42,31788.25
2021-07-18T20:00:00-04:00,31786.37,35451.04,29301.56,35428.26
2021-07-25T20:00:00-04:00,35428.25,42605.64,35251.54,39865.41
2021-08-01T20:00:00-04:00,39859.18,45363.83,37300,43829.14
2021-08-08T20:00:00-04:00,43829.15,48176.52,42821.3,47014.49
2021-08-15T20:00:00-04:00,47014.38,49821.92,43955,49284.63
2021-08-22T20:00:00-04:00,49284.38,50505,46315.48,48802.58
2021-08-29T20:00:00-04:00,48802.58,51907.08,46537.62,51789.17
2021-09-05T20:00:00-04:00,51789.17,52944.96,42830.77,46024.23
2021-09-12T20:00:00-04:00,46027.8,48825.62,43465,47255.92
2021-09-19T20:00:00-04:00,47253.71,47358.92,39600,43178.02
2021-09-26T20:00:00-04:00,43172.17,49300,40750.12,48233.99
2021-10-03T20:00:00-04:00,48233.99,56545.24,46916.7,54690.53
2021-10-10T20:00:00-04:00,54683.09,62910,53873.78,61527.11
2021-10-17T20:00:00-04:00,61530.07,66999,59522.89,60854.48
2021-10-24T20:00:00-04:00,60847.91,63726.58,57653.88,61343.68
2021-10-31T20:00:00-04:00,61346.17,64300,59500,63309.13
2021-11-07T19:00:00-05:00,63309.12,69000,62300,65505.02
2021-11-14T19:00:00-05:00,65505.03,66339.9,55625,58671.21
2021-11-21T19:00:00-05:00,58671.22,59526.51,53327,57317.17
2021-11-28T19:00:00-05:00,57318.51,59249.77,42333,49484.22
2021-12-05T19:00:00-05:00,49484.21,51995,46786.78,50089.64
2021-12-12T19:00:00-05:00,50089.64,50218.42,45469.32,46687.19
2021-12-19T19:00:00-05:00,46687.2,51878.6,45568,50801.79
2021-12-26T19:00:00-05:00,50804.33,52100,45650,47299.07
2022-01-02T19:00:00-05:00,47299.06,47583.33,40505.3,41876.52
2022-01-09T19:00:00-05:00,41876.52,44453.22,39650,43104.34
2022-01-16T19:00:00-05:00,43104.34,43511.99,34017.56,36282.47
2022-01-23T19:00:00-05:00,36275.28,38960,32933.33,37901.35
2022-01-30T19:00:00-05:00,37904.99,42719.93,36259.01,42415.16
2022-02-06T19:00:00-05:00,42416.06,45855,41678.79,42074.99
2022-02-13T19:00:00-05:00,42073.37,44775.96,38000,38389.03
2022-02-20T19:00:00-05:00,38395.99,40300.5,34322,37717.08
2022-02-27T19:00:00-05:00,37716.57,45426.45,37455.71,38408.38
2022-03-06T19:00:00-05:00,38406.82,42597.84,37161.88,37793.01
2022-03-13T20:00:00-04:00,37793.4,42429,37560.4,41287.24
2022-03-20T20:00:00-04:00,41287.24,46950,40509,46850.01
2022-03-27T20:00:00-04:00,46850.01,48240,44232.86,46422.16
2022-04-03T20:00:00-04:00,46420.08,47200,41885.86,42165.96
2022-04-10T20:00:00-04:00,42165.96,42424.14,39204.59,39683.54
2022-04-17T20:00:00-04:00,39681.11,43109.47,38550,39464.56
2022-04-24T20:00:00-04:00,39463.75,40817.16,37401,38473.05
2022-05-01T20:00:00-04:00,38469.49,40038.27,33701,34027.91
2022-05-08T20:00:00-04:00,34033.49,34231.54,25338.53,31290.05
2022-05-15T20:00:00-04:00,31290.02,31293.31,28605,30260.87
2022-05-22T20:00:00-04:00,30258.04,30635.39,28000,29447.07
2022-05-29T20:00:00-04:00,29447.08,32383.96,29213.47,29901.54
2022-06-05T20:00:00-04:00,29899.62,31745,26532.95,26555.2
2022-06-12T20:00:00-04:00,26555.17,26869.35,17567.45,20552.44
2022-06-19T20:00:00-04:00,20552.39,21866,19603.8,21027.92
2022-06-26T20:00:00-04:00,21024.85,21520,18603,19291.33
2022-07-03T20:00:00-04:00,19291.35,22490.54,19029.33,20850.65
2022-07-10T20:00:00-04:00,20850.65,21667.1,18892,21161.94